RCI 152.54.14.10
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 16:01:59	615.1	241.239	194.894
2014-05-21 16:48:42	1221.79	195.638	184.846
2014-05-21 17:28:36	478.769	209.485	206.002
2014-05-21 19:07:46	3753.54	205.91	189.844
2014-05-21 21:14:35	5137.17	204.307	167.052
2014-05-22 00:30:52	8984.71	207.052	183.959
2014-05-22 02:54:01	5420.28	190.473	277.586
2014-05-22 04:39:10	2947.67	193.248	167.536
2014-05-22 07:57:25	8234.67	189.142	170.955
2014-05-22 16:09:05	25532.7	191.372	175.45
2014-05-22 23:23:56	21791.3	189.357	209.56
2014-05-23 04:32:49	13958.9	190.693	183.289
2014-05-23 13:27:01	27194.5	195.522	161.287
2014-05-23 19:20:37	16058.2	186.572	170.626
2014-05-24 07:03:51	36737.3	186.213	169.677
2014-05-24 19:01:03	37254.5	190.499	186.187
2014-05-25 02:39:53	21468.5	189.293	171.657
2014-05-25 15:43:16	40603.9	196.477	202.453
UVA-RBUDP 145.100.133.130
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:50:45	31.222	1229.14	488.874
2014-05-21 14:27:00	18.811	983.984	570.338
2014-05-21 15:04:20	16.191	909.617	413.059
2014-05-21 15:41:46	16.79	688.981	339.855
2014-05-21 16:28:08	17.677	914.317	348.883
2014-05-21 17:19:41	18.109	914.405	358.984
2014-05-21 18:20:32	17.4	1143.09	389.028
2014-05-21 19:20:50	17.695	802.697	396.371
2014-05-21 20:26:44	16.894	837.211	399.53
2014-05-21 21:39:51	18.232	882.976	484.448
2014-05-21 22:58:04	16.727	828.299	546.966
2014-05-22 00:18:28	17.02	854.973	350.445
2014-05-22 01:44:15	16.504	897.358	332.436
2014-05-22 03:13:01	16.676	734.321	373.725
2014-05-22 04:49:32	16.274	912.841	361.027
2014-05-22 06:28:57	16.174	771.739	375.364
2014-05-22 08:13:35	16.766	789.208	371.653
2014-05-22 10:03:33	16.565	795.311	384.68
2014-05-22 11:58:04	16.224	813.222	340.077
2014-05-22 13:56:54	27.275	755.11	346.743
UFL-RBUDP 128.227.10.8
Failed to connect.
UH-RBUDP 129.7.98.5
